id,typeName,category,description,commonExamples,careTips,lightPreference,humidityPreference,temperaturePreference,springInterval,summerInterval,fallInterval,winterInterval,soilPhPreference,drainagePreference,plantToxicity,growthRate,origin
lamium,Dead Nettle,Outdoor - Groundcovers & Grasses,"Also known as: Lamium. Low-growing shade groundcover with silver-marked, heart-shaped leaves and small hooded flowers in pink, purple, or white. Not a true nettle — does not sting.","Lamium maculatum (Spotted dead nettle), L. maculatum 'Beacon Silver', L. maculatum 'White Nancy', L. galeobdolon (Yellow archangel)",Water regularly to keep soil evenly moist; tolerates brief dry spells once established. Shade to partial shade — one of the best groundcovers for dry shade once established. Adaptable to most soils; thrives in average garden conditions. Fertilize lightly in spring. Can be sheared back after flowering to tidy and encourage fresh growth. L. galeobdolon (yellow archangel) is aggressive and potentially invasive — spotted dead nettle (L. maculatum) is better behaved. Silver leaf markings brighten dark garden areas. Non-toxic to pets. Remove dead or damaged foliage promptly.,outdoorShade,medium,"[-10, 28]",5.0,5.0,7.0,,adaptable,wellDraining,nonToxic,moderate,
lawn-turf,Lawn/Turf,Outdoor - Groundcovers & Grasses,"Grass species maintained as lawns, require regular mowing and maintenance for healthy growth.","Cynodon dactylon (Bermuda grass), Festuca (Fescue, Tall fescue), Lolium (Ryegrass, Perennial ryegrass), Poa (Kentucky bluegrass), Zoysia (Zoysia grass)","Frequent deep watering (1-1.5 inches per week, 2-3 times per week). Water early morning (before 10am) to reduce evaporation and prevent disease. Avoid shallow frequent watering which encourages shallow roots. Full sun to partial shade depending on grass type. Fertilize 3-4 times per year with lawn fertilizer. Mow regularly at appropriate height for grass type. Aerate annually. Overseed in fall for cool-season grasses. Research specific grass type for exact requirements. Evergreen; reduce watering in winter when growth slows. Cut back ornamental grasses in late winter before new growth. Trim groundcovers to control spread.",outdoorFullSun,medium,"[10, 29]",3.0,3.0,5.0,,neutral,wellDraining,nonToxic,moderate,
liriope,Liriope,Outdoor - Groundcovers & Grasses,Also known as: Lilyturf. Shade-tolerant evergreen groundcover with grass-like foliage and spikes of purple or white flowers followed by dark berries.,"Liriope muscari (Big blue lilyturf), L. spicata (Creeping lilyturf), L. muscari 'Variegata'",Water regularly during establishment; drought-tolerant once mature. Full sun to deep shade—extremely adaptable. Tolerates a wide range of soils. Fertilize in spring with balanced fertilizer. Mow or cut back old foliage in late winter before new growth emerges. Divide clumps every few years. Deer resistant. Non-toxic to pets.,outdoorPartialSun,medium,"[-10, 35]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
little-bluestem,Little Bluestem,Outdoor - Groundcovers & Grasses,"Native prairie grass with blue-green summer foliage turning orange-red in fall; compact, drought tolerant.",Schizachyrium scoparium,"Water when top 1-2 inches dry; very drought-tolerant once established. Full sun essential. Well-draining, lean soil—rich soil causes floppy growth. Never fertilize. Stunning mahogany-red fall and winter color with fluffy white seed heads. Cut back in late spring. Named 2022 Perennial Plant of the Year.",outdoorFullSun,medium,"[10, 32]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
miscanthus,Miscanthus,Outdoor - Groundcovers & Grasses,Tall ornamental grass with silvery plumes and arching foliage; can be invasive.,Miscanthus sinensis (Maiden grass),Water when top inch of soil is dry. Full sun preferred. Tolerates most soils. Fertilize in spring. Cut back in late winter before new growth. Choose sterile cultivars to avoid seeding. Some cultivars invasive—check local regulations.,outdoorFullSun,medium,"[-10, 35]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
mondo-grass,Mondo Grass,Outdoor - Groundcovers & Grasses,"Low-growing evergreen groundcover with fine, dark green grass-like foliage, including the dramatic black-leaved variety used as an accent in modern gardens.","Ophiopogon japonicus (Mondo grass, Dwarf lilyturf), O. planiscapus 'Nigrescens' (Black mondo grass)","Keep soil evenly moist during establishment; moderately drought-tolerant once mature. Partial shade preferred; tolerates full shade. Moist, well-drained soil with organic matter. Fertilize in spring with balanced fertilizer. Very low maintenance once established. Slow to fill in but forms dense mats over time. Black mondo grass needs some morning sun to maintain dark color. Non-toxic to pets. Remove dead or damaged foliage promptly.",outdoorPartialSun,medium,"[-10, 30]",7.0,5.0,10.0,,neutral,wellDraining,nonToxic,moderate,
pachysandra,Pachysandra,Outdoor - Groundcovers & Grasses,"Evergreen groundcover in the Buxaceae family with glossy leaves, excellent for shady areas and erosion control.","Pachysandra terminalis (Japanese spurge, Japanese pachysandra), P. procumbens (Allegheny spurge, Mountain pachysandra)","Water regularly during establishment (first year), then reduce to weekly. Prefer consistently moist but well-drained soil. Partial to full shade preferred. Fertilize in spring with balanced fertilizer. Prune to control spread if needed. Excellent for shady areas. Glossy evergreen leaves. Spreads by rhizomes. Excellent for erosion control. Evergreen; reduce watering in winter when growth slows. Toxic to pets.",outdoorShade,medium,"[10, 27]",7.0,7.0,14.0,,neutral,wellDraining,toxic,moderate,
pampas-grass,Pampas Grass,Outdoor - Groundcovers & Grasses,"Also known as: Silver Pampas Grass. Towering ornamental grass with feathery silver-white plumes, widely used in landscaping and home décor.","Cortaderia selloana (White pampas grass), C. selloana 'Pumila' (Dwarf pampas grass), C. selloana 'Pink Feather', C. selloana 'Sunningdale Silver'",Full sun — minimum 6 hours direct sunlight daily. Drought-tolerant once established; water occasionally during dry spells. Avoid overwatering — susceptible to root rot. Well-drained soil in wide pH range. Cut back old foliage to 30 cm in late winter before new growth. Wear gloves — leaf edges are razor-sharp. Check local regulations as invasive in warm climates. Non-toxic but leaf edges can cause cuts.,outdoorFullSun,low,"[-10, 40]",7.0,7.0,14.0,,adaptable,wellDraining,nonToxic,moderate,
pennisetum,Fountain Grass,Outdoor - Groundcovers & Grasses,"Ornamental grass with bottlebrush flower plumes; arching foliage in green, burgundy, or variegated.",Pennisetum alopecuroides,Water when top inch of soil is dry. Full sun preferred. Well-draining soil. Fertilize in spring. Cut back in late winter. Drought tolerant. Perennial in mild climates; treat as annual in cold zones. Avoid invasive P. setaceum.,outdoorFullSun,medium,"[-10, 35]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
pink-muhly,Pink Muhly Grass,Outdoor - Groundcovers & Grasses,"Ornamental grass with airy pink to purple clouds of flowers in fall; drought tolerant, striking display.",Muhlenbergia capillaris,Water when top 1-2 inches dry; drought-tolerant once established. Full sun for best flowering. Well-draining soil; tolerates sand and clay. Light spring fertilizer optional. Spectacular cotton-candy pink flower plumes September-November. Cut back in late winter. Low-maintenance ornamental grass.,outdoorFullSun,medium,"[10, 32]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
prairie-dropseed,Prairie Dropseed,Outdoor - Groundcovers & Grasses,"Fine-textured native prairie grass with fragrant fall blooms; forms neat mounds, excellent for borders.",Sporobolus heterolepis,"Water when top 2 inches dry; very drought-tolerant once established. Full sun essential. Well-draining, lean soil. Never fertilize. Fine-textured arching foliage with delicate seed heads that smell like buttered popcorn or cilantro. Golden-orange fall color. Extremely long-lived (100+ years). Cut back in late spring.",outdoorFullSun,medium,"[10, 32]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
sedum-groundcover,Creeping Sedum,Outdoor - Groundcovers & Grasses,"Low, mat-forming succulents with small leaves; yellow or pink flowers, drought-tolerant.","Sedum acre, S. kamtschaticum","Water when soil is dry; very drought tolerant. Full sun preferred. Poor, well-draining soil OK. Fertilize sparingly. Excellent for rock gardens and green roofs. Propagate by division. Tolerates neglect. Remove dead or damaged foliage promptly.",outdoorFullSun,medium,"[-10, 35]",7.0,7.0,10.0,,neutral,excellentDrainage,nonToxic,moderate,
side-oats-grama,Side Oats Grama,Outdoor - Groundcovers & Grasses,Native prairie grass with oat-like flowers arranged along one side of the stem; state grass of Texas.,Bouteloua curtipendula,"Water sparingly; extremely drought-tolerant once established. Full sun essential. Well-draining, lean soil including rocky or sandy. Never fertilize. Named for oat-like seeds that hang to one side of the stem. State grass of Texas. Short (18-30 in.) warm-season grass. Excellent for native meadows. Cut back ornamental grasses in late winter before new growth. Trim groundcovers to control spread.",outdoorFullSun,medium,"[10, 32]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
sweet-woodruff,Sweet Woodruff,Outdoor - Groundcovers & Grasses,Low-growing shade groundcover with whorls of bright green leaves and tiny white star-shaped spring flowers. Dried leaves have sweet vanilla-hay scent; traditional flavoring for May wine.,"Galium odoratum (Sweet woodruff, Waldmeister)",Keep soil consistently moist. Full shade to partial shade — one of the best groundcovers for deep shade. Spreads by runners; can become vigorous in ideal conditions. Shear back after flowering if needed. Minimal fertilizer required. Extremely cold-hardy. Deer and rabbit resistant. Mildly toxic in large quantities — safe as culinary herb in moderation. Remove dead or damaged foliage promptly.,outdoorShade,medium,"[-10, 28]",7.0,7.0,14.0,,neutral,wellDraining,mildlyToxic,moderate,
switchgrass-prairie,Switchgrass,Outdoor - Groundcovers & Grasses,Also known as: Panicum. Tall native prairie grass with airy flower panicles; blue-green or red cultivars; important biofuel crop.,Panicum virgatum,Water when top 1-2 inches dry; drought-tolerant once established. Full sun essential. Adapts to most soils including clay and wet areas. No fertilizer needed. Upright growth (3-6 ft) with airy seed heads. Excellent winter interest. Cut back in late winter. Deep roots prevent erosion.,outdoorFullSun,medium,"[10, 32]",7.0,7.0,10.0,,neutral,wellDraining,nonToxic,moderate,
vinca,Vinca,Outdoor - Groundcovers & Grasses,"Evergreen groundcover in the Apocynaceae family with glossy leaves and spring flowers, can be invasive.","Vinca minor (Common periwinkle, Lesser periwinkle), V. major (Bigleaf periwinkle, Greater periwinkle)","Water regularly during establishment, then reduce to weekly. Drought tolerant once established. Well-drained soil preferred. Partial shade to full shade preferred. Fertilize in spring with balanced fertilizer. Prune to control spread if needed. Glossy evergreen leaves. Spring flowers. Spreads by runners. Can be invasive - check local regulations. Evergreen; reduce watering in winter when growth slows. Toxic to pets.",outdoorShade,medium,"[10, 27]",7.0,7.0,14.0,,neutral,wellDraining,toxic,moderate,
amaranth,Amaranth,Vegetables - Leafy Greens,"Also known as: Chinese spinach. Heat-tolerant leafy green and grain crop in the Amaranthaceae family; nutritious leaves and edible seeds, thrives in summer heat.",Amaranthus spp. (Chinese spinach),Water when top inch of soil is dry. Full sun preferred. Drought tolerant once established. Fertilize regularly during growing season. Harvest young leaves for greens; seeds for grain. Mulch to retain moisture. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,wellDraining,nonToxic,fast,
arugula,Arugula,Vegetables - Leafy Greens,"Also known as: Rocket, Roquette. Fast-growing leafy green in the Brassicaceae family with peppery flavor, also known as rocket or roquette.","Eruca sativa (Arugula, Rocket, Roquette), E. vesicaria (Wild arugula), Diplotaxis tenuifolia (Perennial wall rocket)",Keep soil evenly moist (2-3 times per week). Consistent moisture prevents bitterness and bolting. Water at base. Full sun to partial shade. Prefer cooler temperatures - plant in spring or fall. Fertilize every 3-4 weeks with balanced fertilizer. Harvest leaves when young for best flavor. Fast-growing. Peppery flavor. Can bolt in heat - provide shade in summer. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.,outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
beet-greens,Beet Greens,Vegetables - Leafy Greens,"Edible leaves and stems of the beet root; nutritious, quick-growing, and harvested before or alongside the root.","Beta vulgaris (Beet greens, Beet tops)","Keep soil evenly moist (2-3 times per week). Full sun to partial shade. Fertile, well-drained soil. Fertilize every 3-4 weeks. Harvest outer leaves when 4-6 inches; inner leaves continue growing. Both greens and roots edible. Remove dead or damaged foliage promptly.",outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
bok-choy,Bok Choy,Vegetables - Leafy Greens,"Also known as: Pak choi. Leafy green vegetable in the Brassicaceae family, fast-growing and mild-flavored, popular in Chinese cuisine.","Brassica rapa subsp. chinensis (Bok choy, Pak choi, Chinese cabbage), 'Shanghai', 'Joi Choi', 'Mei Qing Choi'","Keep soil evenly moist (2-3 times per week). Consistent moisture prevents bitterness and bolting. Water at base. Full sun to partial shade. Prefer cooler temperatures - plant in spring or fall. Fertilize every 3-4 weeks with balanced fertilizer. Harvest whole heads or individual leaves. Fast-growing. Can bolt in heat - provide shade in summer. Watch for cabbage worms. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
cabbage,Cabbage,Vegetables - Leafy Greens,"Leafy vegetables in the Brassicaceae family, form tight heads, prefer cool weather.","Brassica oleracea var. capitata (Cabbage), green, red, savoy varieties, 'Golden Acre', 'Red Express'","Keep soil evenly moist (2-3 times per week). Consistent moisture important for head formation. Well-drained, fertile soil preferred. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest when heads are firm and reach desired size. Prefer cool weather - plant in spring or fall. Can be stored for months. Watch for cabbage worms. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorFullSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,wellDraining,nonToxic,fast,
choy-sum,Choy Sum,Vegetables - Leafy Greens,"Also known as: Chinese flowering cabbage. Leafy green vegetables in the Brassicaceae family, popular in Chinese cuisine with tender stems and small yellow flowers.","Brassica rapa var. parachinensis (Choy sum, Chinese flowering cabbage, Cai xin)","Keep soil evenly moist (2-3 times per week). Consistent moisture important. Well-drained, fertile soil preferred. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest whole plant or individual leaves. Prefer cool weather - plant in spring or fall. Popular in Chinese cuisine. Fast-growing. Can bolt in heat. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
collard-greens,Collard Greens,Vegetables - Leafy Greens,"Also known as: Collards. Leafy green vegetable in the Brassicaceae family, cold-hardy and can overwinter in mild climates.","Brassica oleracea var. viridis (Collard greens, Collards), 'Georgia', 'Vates', 'Champion'","Keep soil evenly moist (2-3 times per week). Consistent moisture ensures tender leaves. Water at base. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly to encourage new growth. Cold-hardy - flavor improves after frost. Can overwinter in mild climates. Watch for cabbage worms and aphids. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorFullSun,medium,"[7, 24]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
dandelion-greens,Dandelion Greens,Vegetables - Leafy Greens,"Edible greens from the common dandelion; slightly bitter, nutritious, best when young. Roots and flowers also edible.",Taraxacum officinale (Dandelion leaves),Water when top inch of soil is dry. Full sun for tender leaves. Harvest young leaves before flowers for milder flavor. Blanch by covering to reduce bitterness. Wild or cultivated; ensure no pesticide use. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
endive,Endive,Vegetables - Leafy Greens,"Also known as: Frisée. Curly-leaved chicory in the Asteraceae family; slightly bitter, crisp leaves for salads. Distinct from escarole (broad-leaved).","Cichorium endivia (Curly endive, Frisée)",Keep soil evenly moist. Full sun to partial shade. Prefer cool weather; plant spring or fall. Fertilize every 3-4 weeks. Blanch by covering heads 1-2 weeks before harvest for milder flavor. Harvest when leaves reach desired size. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
escarole,Escarole,Vegetables - Leafy Greens,"Also known as: Broad-leaved endive. Broad-leaved chicory in the Asteraceae family; milder than curly endive, with flat, tender leaves for salads and cooking.",Cichorium endivia var. latifolia (Broad-leaved endive),Keep soil evenly moist. Full sun to partial shade. Prefer cool weather; plant spring or fall. Fertilize every 3-4 weeks. Blanch inner leaves for milder flavor. Harvest outer leaves or whole head. Less bitter than curly endive. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
gai-lan,Gai Lan,Vegetables - Leafy Greens,"Also known as: Chinese broccoli, Kai-lan, Chinese kale. Chinese broccoli in the Brassicaceae family with thick stems and small flower heads, essential in Chinese cuisine.","Brassica oleracea var. alboglabra (Gai lan, Chinese broccoli, Kai-lan, Chinese kale)","Keep soil evenly moist (2-3 times per week). Consistent moisture important. Well-drained, fertile soil preferred. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest when flower buds are just forming. Both stems and leaves are edible. Prefer cool weather. Essential in Chinese cuisine. Watch for cabbage worms. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,wellDraining,nonToxic,fast,
kale,Kale,Vegetables - Leafy Greens,"Cold-hardy leafy green in the Brassicaceae family, flavor improves after frost, can overwinter in mild climates.","Brassica oleracea var. acephala (Kale), curly kale, Lacinato (Dinosaur kale, Tuscan kale), Red Russian kale","Keep soil evenly moist (2-3 times per week). Consistent moisture ensures tender leaves. Water at base to avoid wetting leaves. Mulch around plants to retain moisture and keep leaves clean. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly to encourage new growth. Flavor improves after frost. Can overwinter in mild climates. Watch for cabbage worms and aphids. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorPartialSun,medium,"[7, 24]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
leafy-greens,Leafy Greens,Vegetables - Leafy Greens,Vegetables grown primarily for their edible leaves. Many are cool-season crops that bolt in heat. Quick to harvest and ideal for successive planting.,"Lactuca sativa (Lettuce), Spinacia oleracea (Spinach), Brassica oleracea (Kale), Beta vulgaris (Swiss chard), Eruca vesicaria (Arugula)",Keep soil consistently moist — water every 1-2 days in warm weather. Mulch to retain moisture and keep roots cool. Partial shade to full sun — most prefer cooler conditions and bolt (go to seed) in heat. Fertilize every 2-3 weeks with nitrogen-rich fertilizer for lush leaf growth. Harvest outer leaves first (cut-and-come-again) for continuous production. Succession plant every 2-3 weeks for ongoing harvest. Best grown in spring and fall — provide shade cloth in summer. Ready in 30-60 days depending on variety. Research specific vegetable for exact requirements. Remove dead or damaged foliage promptly.,outdoorPartialSun,medium,"[5, 25]",2.0,2.0,3.0,,neutral,wellDraining,nonToxic,fast,
lettuce,Lettuce,Vegetables - Leafy Greens,"Fast-growing leafy greens in the Asteraceae family, prefer cooler temperatures and can bolt (flower) in heat.","Lactuca sativa (Lettuce), butterhead, romaine, leaf lettuce, and crisphead varieties",Keep soil evenly moist (daily watering may be needed in hot weather). Consistent moisture prevents bitterness and bolting (premature flowering). Water at base to avoid wetting leaves which can cause disease. Partial shade in hot climates helps prevent bolting. Fertilize every 2-3 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly or cut whole head. Fast-growing - ready in 45-60 days. Prefer cooler temperatures - plant in spring and fall. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.,outdoorPartialSun,medium,"[7, 24]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
malabar-spinach,Malabar Spinach,Vegetables - Leafy Greens,Heat-loving vining herb in the Basellaceae family; succulent leaves and stems. Thrives in summer when true spinach bolts.,"Basella alba (Ceylon spinach, Malabar spinach)",Keep soil evenly moist. Full sun. Trellis or support for vining habit. Fertilize every 3-4 weeks. Harvest young leaves and shoot tips. Heat-tolerant; grows when other greens struggle. Red-stemmed variety (B. alba 'Rubra') ornamental. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
mizuna,Mizuna,Vegetables - Leafy Greens,"Japanese mustard green in the Brassicaceae family; feathery, serrated leaves with mild peppery flavor. Popular in salads and stir-fries.","Brassica rapa var. nipposinica (Japanese mustard, Mizuna)","Keep soil evenly moist (2-3 times per week). Full sun to partial shade. Prefer cool weather; plant spring or fall. Fertilize every 3-4 weeks. Cut-and-come-again harvest. Fast-growing; ready in 40-50 days. Mild flavor; can bolt in heat. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
mustard-greens,Mustard Greens,Vegetables - Leafy Greens,"Leafy green vegetables in the Brassicaceae family with peppery flavor, fast-growing and cold-hardy.","Brassica juncea (Mustard greens, Mustard spinach, Indian mustard), 'Southern Giant Curled', 'Red Giant', 'Tendergreen'",Keep soil evenly moist (2-3 times per week). Consistent moisture ensures tender leaves. Water at base. Full sun to partial shade. Prefer cooler temperatures - plant in spring or fall. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly. Fast-growing. Peppery flavor. Cold-hardy. Can bolt in heat. Watch for cabbage worms and aphids. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
napa-cabbage,Napa Cabbage,Vegetables - Leafy Greens,"Also known as: Chinese cabbage, Wombok, Pe-tsai. Chinese cabbage in the Brassicaceae family with elongated, barrel-shaped heads, essential in Chinese cuisine.","Brassica rapa subsp. pekinensis (Napa cabbage, Chinese cabbage, Wombok, Pe-tsai), 'Michihili', 'Blues', 'Rubicon'","Keep soil evenly moist (2-3 times per week). Consistent moisture important for head formation. Well-drained, fertile soil preferred. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Prefer cool weather - plant in spring or fall. Harvest when heads are firm. Essential in Chinese cuisine. Can bolt in heat. Watch for cabbage worms. Seasonal crop; watering varies by growing zone and harvest timing. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
purslane,Purslane,Vegetables - Leafy Greens,Succulent annual in the Portulacaceae family; fleshy leaves high in omega-3. Often foraged as a weed; cultivated for salads and cooking.,Portulaca oleracea (Common purslane),"Drought tolerant; water when soil is dry. Full sun. Poor soil acceptable. Harvest stems and leaves when young. Self-sows; can become weedy. Tangy, slightly lemony flavor. Popular in Mediterranean and Asian cuisines. Remove dead or damaged foliage promptly.",outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,wellDraining,nonToxic,fast,
radicchio,Radicchio,Vegetables - Leafy Greens,"Also known as: Chioggia, Treviso, Castelfranco. Chicory in the Asteraceae family with bitter, wine-red leaves; forms compact heads. Essential in Italian cuisine; bitterness mellows when grilled or roasted.","Cichorium intybus var. foliosum (Chioggia, Treviso, Castelfranco)",Keep soil evenly moist. Full sun. Prefer cool weather; flavor improves after frost. Fertilize every 3-4 weeks. Harvest when heads are firm. Cold temperatures deepen red color. Blanch some varieties for sweeter flavor. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
spinach,Spinach,Vegetables - Leafy Greens,"Cool-season leafy green in the Amaranthaceae family, bolts quickly in heat, best grown in spring and fall.","Spinacia oleracea (Spinach), smooth-leaf and savoy (crinkled) varieties",Keep soil evenly moist (daily watering may be needed). Consistent moisture prevents bolting (premature flowering) and ensures tender leaves. Water at base to avoid wetting leaves. Partial shade in warm climates. Fertilize every 2-3 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly or cut whole plant. Bolts quickly in heat - best grown in spring and fall. Ready in 40-50 days. Watch for leaf miners. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.,outdoorPartialSun,medium,"[10, 21]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
swiss-chard,Swiss Chard,Vegetables - Leafy Greens,"Also known as: Rainbow chard. Leafy green vegetable in the Amaranthaceae family with colorful stems, can be harvested continuously throughout season.","Beta vulgaris subsp. cicla (Swiss chard, Rainbow chard, Rhubarb chard), 'Bright Lights', 'Fordhook Giant', 'Ruby Red'","Keep soil evenly moist (2-3 times per week). Consistent moisture ensures tender leaves. Water at base to avoid wetting leaves. Mulch around plants. Full sun to partial shade. Fertilize every 3-4 weeks with nitrogen-rich fertilizer. Harvest outer leaves regularly to encourage new growth. Colorful stems in red, yellow, orange, and white. Can harvest continuously throughout season. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.",outdoorFullSun,medium,"[10, 24]",3.0,3.0,5.0,,neutral,moistureRetentive,nonToxic,fast,
tatsoi,Tatsoi,Vegetables - Leafy Greens,"Asian green in the Brassicaceae family; dark green spoon-shaped leaves in a flat rosette. Mild, mustard-like flavor; cold-hardy.",Brassica rapa var. rosularis (Rosette bok choy),"Keep soil evenly moist (2-3 times per week). Full sun to partial shade. Prefer cool weather; very cold-hardy. Fertilize every 3-4 weeks. Harvest whole rosette or outer leaves. Fast-growing; ready in 45-50 days. Popular in Asian salads and stir-fries. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
turnip-greens,Turnip Greens,Vegetables - Leafy Greens,"Edible leaves of the turnip root; nutritious, slightly peppery. Harvest before or alongside roots; flavor improves after light frost.",Brassica rapa var. rapa (greens),"Keep soil evenly moist (2-3 times per week). Full sun to partial shade. Fertile, well-drained soil. Fertilize every 3-4 weeks. Harvest outer leaves when 4-6 inches; allows root to develop. Can grow for greens only or greens plus roots. Cold-hardy. Harvest outer leaves first, allowing center to continue growing. Remove yellowing leaves.",outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,moistureRetentive,nonToxic,fast,
water-spinach,Water Spinach,Vegetables - Leafy Greens,Also known as: Kangkong. Semi-aquatic vine in the Convolvulaceae family; hollow stems and tender leaves. Staples in Southeast Asian and Chinese cooking.,"Ipomoea aquatica (Water spinach, Ong choy, Kangkong)",Keep soil consistently moist or grow in shallow water. Full sun. Rich soil or aquatic setup. Fertilize regularly. Harvest shoot tips and young leaves. Invasive in some regions; check local regulations. Quick-growing; harvest frequently. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,waterloggingTolerant,nonToxic,fast,
acorn-squash,Acorn Squash,Vegetables - Fruiting,"Small winter squash in the Cucurbitaceae family with acorn-shaped dark green fruits and sweet orange flesh, good for roasting.",Cucurbita pepo var. turbinata,Water deeply 2-3 times per week during growing season. Consistent moisture important during fruit development. Mulch around plants. Full sun essential (6-8 hours daily). Fertilize every 3-4 weeks with balanced fertilizer. Compact vines suit smaller gardens. Harvest when rind is hard and dark green. Cure before storage. Seasonal crop; watering varies by growing zone and harvest timing. Remove dead or damaged foliage promptly.,outdoorFullSun,medium,"[10, 32]",5.0,4.0,7.0,,neutral,wellDraining,nonToxic,fast,
